IMAGE          CREATED         CREATED BY                                      SIZE      COMMENT
7c153077b522   2 minutes ago   CMD ["/bin/sh" "-c" "./server"]                 0B        buildkit.dockerfile.v0
<missing>      2 minutes ago   USER backuser                                   0B        buildkit.dockerfile.v0
<missing>      2 minutes ago   RUN /bin/sh -c go build # buildkit              146MB     buildkit.dockerfile.v0
<missing>      2 minutes ago   RUN /bin/sh -c useradd -m backuser # buildkit   398kB     buildkit.dockerfile.v0
<missing>      2 minutes ago   RUN /bin/sh -c tar -C /usr/local -xzf go1.16…   387MB     buildkit.dockerfile.v0
<missing>      2 minutes ago   RUN /bin/sh -c curl -sL https://go.dev/dl/go…   129MB     buildkit.dockerfile.v0
<missing>      2 minutes ago   RUN /bin/sh -c rm -rf /usr/local/go # buildk…   0B        buildkit.dockerfile.v0
<missing>      2 minutes ago   RUN /bin/sh -c apt install -y curl # buildkit   14.3MB    buildkit.dockerfile.v0
<missing>      2 minutes ago   RUN /bin/sh -c apt update # buildkit            38.8MB    buildkit.dockerfile.v0
<missing>      2 minutes ago   COPY . . # buildkit                             21MB      buildkit.dockerfile.v0
<missing>      8 hours ago     WORKDIR /go/src/app                             0B        buildkit.dockerfile.v0
<missing>      8 hours ago     ENV PATH=/usr/local/sbin:/usr/local/bin:/usr…   0B        buildkit.dockerfile.v0
<missing>      8 hours ago     ENV REQUEST_ORIGIN=http://localhost:5000        0B        buildkit.dockerfile.v0
<missing>      8 hours ago     EXPOSE map[8080/tcp:{}]                         0B        buildkit.dockerfile.v0
<missing>      6 days ago      /bin/sh -c #(nop)  CMD ["bash"]                 0B        
<missing>      6 days ago      /bin/sh -c #(nop) ADD file:2aa3e79e3cff3c048…   63.1MB    
